Main_Topic,anger,disgust,fear,joy,neutral,sadness,surprise
Customer Support Response,0.0,0.0,0.0,2.0,2.0,2.0,3.0
Damaged During Shipping,8.0,2.0,4.0,8.0,11.0,17.0,16.0
Defective Item,32.0,26.0,11.0,41.0,62.0,75.0,53.0
Durability,0.0,0.0,0.0,15.0,16.0,3.0,14.0
Expensive Product,8.0,4.0,8.0,40.0,37.0,17.0,39.0
Fake or Counterfeit Product,6.0,6.0,2.0,24.0,30.0,12.0,22.0
Fast Delivery,1.0,1.0,2.0,40.0,39.0,7.0,36.0
General Feedback,6.0,6.0,3.0,39.0,49.0,12.0,35.0
Late Delivery,0.0,1.0,0.0,3.0,2.0,1.0,2.0
Packaging Issue,4.0,0.0,2.0,17.0,19.0,4.0,17.0
Product Quality,33.0,10.0,10.0,188.0,184.0,40.0,147.0
Refund & Returns,2.0,0.0,2.0,5.0,8.0,4.0,9.0
Replacement Process,4.0,2.0,2.0,8.0,6.0,8.0,9.0
Trust in Brand,2.0,1.0,0.0,16.0,15.0,4.0,16.0
Value for Money,33.0,8.0,14.0,371.0,371.0,72.0,337.0
Wrong Item Sent,1.0,3.0,0.0,10.0,17.0,11.0,15.0
